Barcode	Description	UnitRRP	CategoryID	Category
9771471058036	Todays Pilot	340	529	Aviation
9770300169189	Pilot	399	529	Aviation
9781909786417	Classic Airliner	795	529	Aviation
9771440132057	International Artist	475	528	Art
9771362031988	Canal Boat	499	530	Boating
9772053931013	U96 U Boat	399	530	Boating
9772057752997	Complete Guide To	699	531	Camping /Walking /Climbing
9770140530668	Treasure Hunting	360	532	Collecting
9770953669036	Modern Painters	599	528	Art
9771764624047	Vertical	575	531	Camping /Walking /Climbing
9771471058043	Todays Pilot	350	529	Aviation
9781852775582	Top Yatchs	300	530	Boating
9771474516052	Scottish Mountaineer	350	531	Camping /Walking /Climbing
9770954808106	Gibbons Stamp Monthly	290	532	Collecting
9770954808151	Gibbons Stamps Monthly	360	532	Collecting
9771095107110	Flight Journal	450	529	Aviation
9772059251009	F 14 Tomcat	0	529	Aviation
9770015371273	Flight International	350	529	Aviation
9770957630155	Collectors Gazette	325	532	Collecting
9770024071140	Leisure Painter	390	528	Art
9770015480067	Flying	375	529	Aviation
9770332448061	Afloat	515	530	Boating
9770143246115	Seahorse Int L Sailing 	430	530	Boating
9771754568009	Elle Decoration Collections	900	532	Collecting
9770950331134	Classic Boat	450	530	Boating
9772056631002	Art Books	795	528	Art
9771740291027	Raf Magazine	399	529	Aviation
9770140757133	Tgo	320	531	Camping /Walking /Climbing
9771653608004	Modart	350	528	Art
9772056724001	Tillergraph	150	530	Boating
9770004387087	Artist	295	528	Art
9770024071096	Leisure Painter	310	528	Art
9770037394182	Ships Monthly 	425	530	Boating
9772047180007	Canal Boat Buyers Guide	495	530	Boating
9771764624009	Vertical	375	531	Camping /Walking /Climbing
9770024071072	Leisure Painter	280	528	Art
9770015480074	Flying	399	529	Aviation
9771466247025	Trad Boats & Tall Ships	365	530	Boating
9770306154027	Adventure Travel	280	531	Camping /Walking /Climbing
9771479483021	Qp Magazine	650	532	Collecting
9770307667206	Stamp	335	532	Collecting
9771759570021	Rolf Harris Art Course	299	528	Art
9770300169981	Pilot	499	529	Aviation
9771095107950	Flight Journal	399	529	Aviation
9772042695001	Artbox	495	528	Art
9771358520175	Climber	375	531	Camping /Walking /Climbing
9771745277002	Climb	350	531	Camping /Walking /Climbing
9771550882002	Duel Masters	495	532	Collecting
9770955709174	Airforces Monthly	370	529	Aviation
9770306563219	Air International	420	529	Aviation
9771744193037	Art Of England	325	528	Art
9770886225033	Air Space	350	529	Aviation
9770140757980	Tgo The Great Outdoors	499	531	Camping /Walking /Climbing
9771095107905	Flight Journal	399	529	Aviation
9781907426629	Company Profile	795	529	Aviation
9771764624016	Vertical	400	531	Camping /Walking /Climbing
9770036723044	Sailplane and Gliding	450	529	Aviation
9771476530032	Dinghy Sailing Magazine	340	530	Boating
9771743656007	Boats And Outboards	260	530	Boating
9770745718034	Teddy Bear & Friends	340	532	Collecting
9770264913088	Boat International	380	530	Boating
9770952860120	Book & Magazine Collector	330	532	Collecting
9771745797029	Culture	130	528	Art
9770951684994	Model Collector	325	532	Collecting
9781909786479	Classic Airliner	795	529	Aviation
9771095107882	Flight Journal	399	529	Aviation
9771835857008	Ultimate Boating	699	530	Boating
9790951109563	Tall Ships Guide	300	530	Boating
9771758661027	Flight Test	899	529	Aviation
9770956662157	Stamp & Coin Mart	295	532	Collecting
9772056675006	Trail Guide To	699	531	Camping /Walking /Climbing
9770002267176	Aircraft Illustrated	395	529	Aviation
9771362031995	Canal Boat	480	530	Boating
9770956662140	Stamp & Coin Mart	275	532	Collecting
9771524903009	Pastel	495	528	Art
9772059251023	F-14	0	529	Aviation
9771744342008	Camping In France	395	531	Camping /Walking /Climbing
9771077841018	Juxtapoz	325	528	Art
9780862962456	Coins Market Values	899	532	Collecting
9771743586076	Radio Control Model Flyer	425	529	Aviation
9771077841056	Juxtapoz	420	528	Art
9770015371280	Flight International	360	529	Aviation
9771649632020	Flying in Ireland	475	529	Aviation
9770037394113	Ships Monthly	275	530	Boating
9770015371266	Flight International	340	529	Aviation
9771974326007	Nautica International	495	530	Boating
9771751262016	Magic The Gathering	399	532	Collecting
9772042911002	Aviation Classics	699	529	Aviation
9771764624030	Vertical	500	531	Camping /Walking /Climbing
9770886225026	Air & Space	325	529	Aviation
9781907426797	Company Profile	795	529	Aviation
9770955709204	Airforces Monthly	410	529	Aviation
9770015371235	Flight International	320	529	Aviation
9770886225996	Air Space	395	529	Aviation
9771362031148	Canal Boat	370	530	Boating
9771743271002	Aesthetica	450	528	Art
9770958189218	Motorboats Monthly	390	530	Boating
9772057752003	Complete Guide To	699	531	Camping /Walking /Climbing
9770307667183	Stamp	310	532	Collecting
9772053488005	Discover Art	499	528	Art
9771476530056	Dinghy Sailing Magazine	375	530	Boating
9771743271040	Aesthetica	425	528	Art
9770262695245	Flypast	450	529	Aviation
9771095107967	Flight Journal	399	529	Aviation
9771355931059	Teddy Bear Scene	380	532	Collecting
9772378708000	Blouinilifstyle.Com	595	528	Art
9772042249044	Trek & Mountain	395	531	Camping /Walking /Climbing
9771076885013	Aviation History	395	529	Aviation
9770962067014	Frieze	595	528	Art
9771077841049	Juxtapoz	400	528	Art
9771744193051	Art Of England	370	528	Art
9771745277026	Climb	395	531	Camping /Walking /Climbing
9771764624993	Vertical	550	531	Camping /Walking /Climbing
9771440132064	International Artist	495	528	Art
9772426142008	Colour Mediation	499	528	Art
9771465633164	Magazine	470	529	Aviation
9771550771009	Spitfire & Gt6	299	529	Aviation
9770954808113	Gibbons Stamp Monthly	300	532	Collecting
9771757184015	Aircraft Illustrated	299	529	Aviation
9770958189249	Motorboats Monthly	420	530	Boating
9771461569030	Dolls House Magazine	380	532	Collecting
9770004387063	Artist	270	528	Art
9771360940053	Rib International 	425	530	Boating
9781907426759	Classic Airliner	795	529	Aviation
9771751087022	Boat Trader	330	530	Boating
9770955304140	Climber	320	531	Camping /Walking /Climbing
9771095107943	Flight Journal	399	529	Aviation
9771743271064	Aesthetica	495	528	Art
9771742590029	Park And Holiday Homes	270	531	Camping /Walking /Climbing
9771743271033	Aesthetica	395	528	Art
9770955709266	Airforces Monthly	470	529	Aviation
9771467579057	Boats & Yachts For Sale	360	530	Boating
9781909786004	Classic Airliner	795	529	Aviation
9770140757164	Tgo	350	531	Camping /Walking /Climbing
9771744193068	Art Of England	390	528	Art
9770951684239	Model Collector	395	532	Collecting
9771358350024	Doll	395	532	Collecting
9771360940039	Rib International	385	530	Boating
9770954808175	Gibbons Stamp Monthly	385	532	Collecting
9771744193013	Art Of England	295	528	Art
9770307667176	Stamp	300	532	Collecting
9772057107001	Marina	399	530	Boating
9771095107936	Flight Journal	399	529	Aviation
9771003686102	Leap	660	528	Art
9770306563240	Air International	450	529	Aviation
9770015480050	Flying	375	529	Aviation
9770140757157	Tgo	340	531	Camping /Walking /Climbing
9770957630162	Collectors Gazette	350	532	Collecting
9771076885006	Aviation History	375	529	Aviation
9780862962647	Coins Market Values	899	532	Collecting
9771471645304	Art Course	299	528	Art
9770950331110	Classic Boat	295	530	Boating
9771750440026	Hkl Special Edition	799	532	Collecting
9770264913095	Boat International	480	530	Boating
9770952860137	Book & Magazine Collector	340	532	Collecting
9771743751061	Thomas Collected	299	532	Collecting
9781909786066	Classic Airliner	795	529	Aviation
9779909475004	Field (The)	360	531	Camping /Walking /Climbing
9771478276020	Doll Advertiser	375	532	Collecting
9770306563264	Air International	470	529	Aviation
9770027178174	Motorboat & Yachting	370	530	Boating
9770332448054	Afloat	425	530	Boating
9771471058050	Todays Pilot	360	529	Aviation
9770306563233	Air International	440	529	Aviation
9771095107929	Flight Journal	399	529	Aviation
9770959903202	Trail	460	531	Camping /Walking /Climbing
9771471058081	Todays Pilot	395	529	Aviation
9770140757195	Tgo The Great Outdoors	445	531	Camping /Walking /Climbing
9771362753996	Flyer Guide Learning To Fly	499	529	Aviation
9770027178242	Motorboat And Yachting	460	530	Boating
9770745718041	Teddy Bear & Friends	350	532	Collecting
9771478276006	Doll Advertiser	300	532	Collecting
9772048777022	Disegno	800	528	Art
9771360940046	Rib International	395	530	Boating
9771757224025	Scotland Outdoors	395	531	Camping /Walking /Climbing
9770027178228	Motorboat & Yachting	430	530	Boating
9771095107974	Flight Journal	399	529	Aviation
9771364512027	Teddy Bear Club Intl	395	532	Collecting
9770959903158	Trail	350	531	Camping /Walking /Climbing
9771742590043	Park And Holiday Homes	300	531	Camping /Walking /Climbing
9771744193075	Art Of England	399	528	Art
9781909786127	Company Profile	795	529	Aviation
9771095107080	Flight Journal	370	529	Aviation
9771095107103	Flight Journal	425	529	Aviation
9771461569993	Dolls House Magazine	450	532	Collecting
9771751087077	Boat Trader	499	530	Boating
9770004387148	Artist	390	528	Art
9771440132033	International Artist	425	528	Art
9770269469108	A & I - Artists & Illustrators	310	528	Art
9771095107912	Flight Journal	399	529	Aviation
9770037733004	Smithsonian Collectives	495	532	Collecting
9771538495002	Quilting Arts	375	528	Art
9770968418056	Airliners	410	529	Aviation
9770954808168	Gibbons Stamp Monthly	375	532	Collecting
9772044219007	Air Data	999	529	Aviation
